cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
30,VERACRUZ,2025-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,30030,CAMERINO Z. MENDOZA,1,2026-08-09
30,VERACRUZ,2025-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,30039,COATZACOALCOS,2,2026-08-09
30,VERACRUZ,2025-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,30087,XALAPA,1,2026-08-09
30,VERACRUZ,2025-02,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,30123,PÁNUCO,1,2026-08-09
30,VERACRUZ,2025-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,30189,TÚXPAM,1,2026-08-09
30,VERACRUZ,2025-02,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,30189,TÚXPAM,1,2026-08-09
30,VERACRUZ,2025-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,30193,VERACRUZ,2,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30011,ALVARADO,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30012,AMATITLÁN,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30023,ATZALAN,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30026,BANDERILLA,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30028,BOCA DEL RÍO,2,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30032,CATEMACO,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30034,CERRO AZUL,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30034,CERRO AZUL,2,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30038,COATEPEC,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30039,COATZACOALCOS,2,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30039,COATZACOALCOS,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30044,CÓRDOBA,2,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30049,COTAXTLA,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30057,CHICONQUIACO,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30063,CHONTLA,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30064,CHUMATLÁN,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30081,IXHUATLANCILLO,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30087,XALAPA,5,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30087,XALAPA,5,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30105,MEDELLÍN,2,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30118,ORIZABA,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30128,PEROTE,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30131,POZA RICA DE HIDALGO,2,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30131,POZA RICA DE HIDALGO,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,HOMBRE,30132,LAS VIGAS DE RAMÍREZ,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30133,PUEBLO VIEJO,1,2026-08-09
30,VERACRUZ,2025-02,LOCALIZADA_CON_VIDA,MUJER,30134,PUENTE NACIONAL,1,2026-08-09
