cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07001,ACACOYAGUA,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07002,ACALA,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07003,ACAPETAHUA,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07006,AMATENANGO DE LA FRONTERA,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07009,ARRIAGA,3,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07011,BELLA VISTA,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07015,CACAHOATÁN,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07027,CHIAPA DE CORZO,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07034,FRONTERA COMALAPA,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07035,FRONTERA HIDALGO,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07069,PIJIJIAPAN,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07074,REFORMA,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07078,SAN CRISTÓBAL DE LAS CASAS,2,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07087,SUCHIATE,3,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07089,TAPACHULA,6,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07089,TAPACHULA,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07097,TONALÁ,2,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07101,TUXTLA GUTIÉRREZ,1,2026-08-09
07,CHIAPAS,2025-05,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07101,TUXTLA GUTIÉRREZ,3,2026-08-09
07,CHIAPAS,2025-05,LOCALIZADA_CON_VIDA,HOMBRE,07002,ACALA,1,2026-08-09
07,CHIAPAS,2025-05,LOCALIZADA_CON_VIDA,MUJER,07002,ACALA,2,2026-08-09
07,CHIAPAS,2025-05,LOCALIZADA_CON_VIDA,HOMBRE,07009,ARRIAGA,2,2026-08-09
07,CHIAPAS,2025-05,LOCALIZADA_CON_VIDA,HOMBRE,07012,BERRIOZÁBAL,1,2026-08-09
07,CHIAPAS,2025-05,LOCALIZADA_CON_VIDA,MUJER,07016,CATAZAJÁ,1,2026-08-09
07,CHIAPAS,2025-05,LOCALIZADA_CON_VIDA,HOMBRE,07019,COMITÁN DE DOMÍNGUEZ,3,2026-08-09
07,CHIAPAS,2025-05,LOCALIZADA_CON_VIDA,MUJER,07019,COMITÁN DE DOMÍNGUEZ,5,2026-08-09
