cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28003,ALTAMIRA,1,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28009,CIUDAD MADERO,2,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28022,MATAMOROS,9,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28025,MIGUEL ALEMÁN,2,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28027,NUEVO LAREDO,12,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,28027,NUEVO LAREDO,3,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28032,REYNOSA,13,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,28032,REYNOSA,2,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28035,SAN FERNANDO,1,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28038,TAMPICO,1,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28039,TULA,1,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,28041,VICTORIA,4,2026-08-09
28,TAMAULIPAS,2024-11,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,28041,VICTORIA,2,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,HOMBRE,28003,ALTAMIRA,6,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28003,ALTAMIRA,2,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28016,HIDALGO,1,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,HOMBRE,28021,EL MANTE,2,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28021,EL MANTE,1,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,HOMBRE,28022,MATAMOROS,4,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28022,MATAMOROS,6,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,HOMBRE,28027,NUEVO LAREDO,5,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28027,NUEVO LAREDO,3,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,HOMBRE,28032,REYNOSA,13,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28032,REYNOSA,8,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,HOMBRE,28035,SAN FERNANDO,1,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28035,SAN FERNANDO,1,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,HOMBRE,28038,TAMPICO,3,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28038,TAMPICO,2,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,HOMBRE,28041,VICTORIA,9,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_CON_VIDA,MUJER,28041,VICTORIA,12,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_SIN_VIDA,HOMBRE,28032,REYNOSA,1,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_SIN_VIDA,HOMBRE,28035,SAN FERNANDO,1,2026-08-09
28,TAMAULIPAS,2024-11,LOCALIZADA_SIN_VIDA,HOMBRE,28041,VICTORIA,3,2026-08-09
