cve_entidad,entidad,modelo,mae,n,mase
01,AGUASCALIENTES,estacional_deriva,2.5534990368311643,705,1.1792877231166827
01,AGUASCALIENTES,estacional_ingenuo,2.1872340425531913,705,1.0101348059119701
01,AGUASCALIENTES,indice_estacional,1.864561706434317,705,0.8611143758723373
02,BAJA CALIFORNIA,estacional_deriva,17.879521954017044,705,1.1675240995337628
02,BAJA CALIFORNIA,estacional_ingenuo,15.625531914893617,705,1.0203396447394106
02,BAJA CALIFORNIA,indice_estacional,14.487087200191807,705,0.9459997578106901
03,BAJA CALIFORNIA SUR,estacional_deriva,5.237879660888344,705,1.189087127518742
03,BAJA CALIFORNIA SUR,estacional_ingenuo,4.4425531914893615,705,1.0085345894375473
03,BAJA CALIFORNIA SUR,indice_estacional,3.985055799165765,705,0.9046749562834101
04,CAMPECHE,estacional_deriva,1.166703316520654,705,1.2169922525775787
04,CAMPECHE,estacional_ingenuo,0.9702127659574468,705,1.0120322817314746
04,CAMPECHE,indice_estacional,0.8877139705054599,705,0.925977503716902
05,COAHUILA,estacional_deriva,6.529738592657015,705,1.2581184231074822
05,COAHUILA,estacional_ingenuo,5.202836879432624,705,1.002457424221891
05,COAHUILA,indice_estacional,4.097174398395946,705,0.7894237296272445
06,COLIMA,estacional_deriva,7.2560403177306405,705,1.2245200536198153
06,COLIMA,estacional_ingenuo,5.9787234042553195,705,1.0089616902578713
06,COLIMA,indice_estacional,4.835161733031692,705,0.8159756899537444
07,CHIAPAS,estacional_deriva,9.22037936491345,705,1.3539634747020963
07,CHIAPAS,estacional_ingenuo,6.957446808510638,705,1.0216639124147902
07,CHIAPAS,indice_estacional,5.873768882687081,705,0.8625315956373019
08,CHIHUAHUA,estacional_deriva,9.61831975539929,705,1.10734223634949
08,CHIHUAHUA,estacional_ingenuo,8.768794326241135,705,1.0095376912228138
08,CHIHUAHUA,indice_estacional,6.6403425148756865,705,0.7644923352045271
09,CIUDAD DE MEXICO,estacional_deriva,21.042141939456222,705,1.2211506832969798
09,CIUDAD DE MEXICO,estacional_ingenuo,17.632624113475178,705,1.0232841811657056
09,CIUDAD DE MEXICO,indice_estacional,14.562231560995494,705,0.8450983303982996
10,DURANGO,estacional_deriva,3.9491155919345617,705,1.25089787074367
10,DURANGO,estacional_ingenuo,3.225531914893617,705,1.0216998997437896
10,DURANGO,indice_estacional,2.602052170629524,705,0.824210242529247
11,GUANAJUATO,estacional_deriva,13.508918761898329,705,0.9997426117368182
11,GUANAJUATO,estacional_ingenuo,13.741843971631205,705,1.0169805018760707
11,GUANAJUATO,indice_estacional,11.317247420300944,705,0.8375455277409262
12,GUERRERO,estacional_deriva,8.888164834388869,705,1.1766607712921806
12,GUERRERO,estacional_ingenuo,7.6326241134751776,705,1.0104458618495584
12,GUERRERO,indice_estacional,6.064023184444548,705,0.8027864390785452
13,HIDALGO,estacional_deriva,6.265988671606697,705,1.285058693668492
13,HIDALGO,estacional_ingenuo,4.964539007092198,705,1.0181512200985694
13,HIDALGO,indice_estacional,4.494851200465187,705,0.9218254156886231
14,JALISCO,estacional_deriva,28.174921204011465,705,0.9942156505352544
14,JALISCO,estacional_ingenuo,28.80709219858156,705,1.0165232301045113
14,JALISCO,indice_estacional,22.951173961540903,705,0.8098839455661853
15,ESTADO DE MEXICO,estacional_deriva,38.50693307681298,705,1.223887287180029
15,ESTADO DE MEXICO,estacional_ingenuo,32.05673758865248,705,1.018877133760691
15,ESTADO DE MEXICO,indice_estacional,26.783691840085826,705,0.8512809857237681
16,MICHOACAN,estacional_deriva,22.70013245065012,705,1.1609112538160036
16,MICHOACAN,estacional_ingenuo,19.93758865248227,705,1.0196315413991355
16,MICHOACAN,indice_estacional,15.598440593436345,705,0.7977224479314445
17,MORELOS,estacional_deriva,9.093743534458994,705,1.1960249648581938
17,MORELOS,estacional_ingenuo,7.543262411347517,705,0.9921029910576625
17,MORELOS,indice_estacional,5.751120467676166,705,0.7563973658574087
18,NAYARIT,estacional_deriva,8.145488316385615,705,1.1487227112851508
18,NAYARIT,estacional_ingenuo,7.276595744680851,705,1.0261865793780687
18,NAYARIT,indice_estacional,5.864206585077423,705,0.8270034927673289
19,NUEVO LEON,estacional_deriva,15.630150487136989,705,1.26844279607215
19,NUEVO LEON,estacional_ingenuo,12.513475177304965,705,1.0155134114378945
19,NUEVO LEON,indice_estacional,9.926216572919504,705,0.8055480921014487
20,OAXACA,estacional_deriva,3.750634157985412,705,1.210204621643293
20,OAXACA,estacional_ingenuo,3.143262411347518,705,1.0142260047281324
20,OAXACA,indice_estacional,2.7011685383782655,705,0.871577048383387
21,PUEBLA,estacional_deriva,10.099440400389444,705,1.2135375257667556
21,PUEBLA,estacional_ingenuo,8.35886524822695,705,1.0043919513758301
21,PUEBLA,indice_estacional,6.546491118173749,705,0.7866190916574217
22,QUERETARO,estacional_deriva,3.0720448683099373,705,1.1298402099255391
22,QUERETARO,estacional_ingenuo,2.7588652482269502,705,1.0146586475241974
22,QUERETARO,indice_estacional,2.396589022633424,705,0.8814202788408642
23,QUINTANA ROO,estacional_deriva,8.740311430150403,705,1.3541327567838652
23,QUINTANA ROO,estacional_ingenuo,6.615602836879432,705,1.0249525521925882
23,QUINTANA ROO,indice_estacional,6.564739551100753,705,1.0170723248184266
24,SAN LUIS POTOSI,estacional_deriva,5.361506597712947,705,1.1969415098215253
24,SAN LUIS POTOSI,estacional_ingenuo,4.568794326241135,705,1.019970689068593
24,SAN LUIS POTOSI,indice_estacional,4.390740387624484,705,0.9802206400416283
25,SINALOA,estacional_deriva,18.491962079572602,705,1.1807532515188839
25,SINALOA,estacional_ingenuo,16.01418439716312,705,1.022541589475851
25,SINALOA,indice_estacional,12.083675720581368,705,0.7715697953511058
26,SONORA,estacional_deriva,22.973761271735412,705,1.3468144931589074
26,SONORA,estacional_ingenuo,17.343262411347517,705,1.0167319533784156
26,SONORA,indice_estacional,14.485418388889332,705,0.8491936167905083
27,TABASCO,estacional_deriva,10.341608681228779,705,1.2488369764757308
27,TABASCO,estacional_ingenuo,8.463829787234042,705,1.0220792457637915
27,TABASCO,indice_estacional,7.108920256909994,705,0.858462426233642
28,TAMAULIPAS,estacional_deriva,23.207864841395033,705,1.1346067255793129
28,TAMAULIPAS,estacional_ingenuo,20.341843971631207,705,0.9944901497241924
28,TAMAULIPAS,indice_estacional,15.01920154746362,705,0.7342720756537771
29,TLAXCALA,estacional_deriva,1.1808131404945175,705,1.0990645384602817
29,TLAXCALA,estacional_ingenuo,1.0907801418439715,705,1.0152645935624658
29,TLAXCALA,indice_estacional,1.0998661999938597,705,1.0237216169173617
30,VERACRUZ,estacional_deriva,14.859018476248114,705,1.2034412554391043
30,VERACRUZ,estacional_ingenuo,12.312056737588652,705,0.9971612217190273
30,VERACRUZ,indice_estacional,10.683004020245702,705,0.8652232171684939
31,YUCATAN,estacional_deriva,1.6731992157715088,705,1.1310452799349306
31,YUCATAN,estacional_ingenuo,1.499290780141844,705,1.0134870636713025
31,YUCATAN,indice_estacional,1.159084339736051,705,0.7835151123355429
32,ZACATECAS,estacional_deriva,11.364787779267099,705,1.0323868778463356
32,ZACATECAS,estacional_ingenuo,11.182978723404256,705,1.0158711903392754
32,ZACATECAS,indice_estacional,9.438314713898045,705,0.8573844447309785
33,ENTIDAD NO ESPECIFICADA,estacional_deriva,1.8169288270977855,705,1.2781883027839074
33,ENTIDAD NO ESPECIFICADA,estacional_ingenuo,1.4184397163120568,705,0.9978558469404586
33,ENTIDAD NO ESPECIFICADA,indice_estacional,1.2916109211043887,705,0.9086332642652968
