cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
20,OAXACA,2025-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,20437,SANTA MARÍA TLAHUITOLTEPEC,1,2026-08-09
20,OAXACA,2025-08,LOCALIZADA_CON_VIDA,HOMBRE,20227,SAN LORENZO CACAOTEPEC,1,2026-08-09
20,OAXACA,2025-08,LOCALIZADA_CON_VIDA,HOMBRE,20319,SAN PEDRO MIXTEPEC-MIAHUATLAN,1,2026-08-09
20,OAXACA,2025-08,LOCALIZADA_CON_VIDA,MUJER,20409,SANTA MARÍA DEL TULE,1,2026-08-09
20,OAXACA,2025-08,LOCALIZADA_CON_VIDA,HOMBRE,20555,TRINIDAD ZAACHILA,1,2026-08-09
