cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,,SIN MUNICIPIO DE REFERENCIA,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14013,ATOTONILCO EL ALTO,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14023,ZAPOTLÁN EL GRANDE,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14039,GUADALAJARA,14,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,14039,GUADALAJARA,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,14042,HUEJUQUILLA EL ALTO,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14051,JUANACATLÁN,3,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,14064,OJUELOS DE JALISCO,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14067,PUERTO VALLARTA,3,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,14067,PUERTO VALLARTA,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14070,EL SALTO,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,14070,EL SALTO,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,14082,SAYULA,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14083,TALA,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14093,TEPATITLÁN DE MORELOS,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14097,TLAJOMULCO DE ZÚÑIGA,4,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14098,TLAQUEPAQUE,4,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,14098,TLAQUEPAQUE,1,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14101,TONALÁ,3,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14120,ZAPOPAN,11,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,14120,ZAPOPAN,2,2026-08-09
14,JALISCO,2025-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,14124,ZAPOTLANEJO,1,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_CON_VIDA,HOMBRE,14039,GUADALAJARA,1,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_CON_VIDA,MUJER,14043,LA HUERTA,1,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_CON_VIDA,HOMBRE,14098,TLAQUEPAQUE,2,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_CON_VIDA,MUJER,14101,TONALÁ,1,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_CON_VIDA,HOMBRE,14120,ZAPOPAN,1,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_CON_VIDA,MUJER,14120,ZAPOPAN,1,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_SIN_VIDA,HOMBRE,14039,GUADALAJARA,1,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_SIN_VIDA,HOMBRE,14067,PUERTO VALLARTA,1,2026-08-09
14,JALISCO,2025-01,LOCALIZADA_SIN_VIDA,HOMBRE,14070,EL SALTO,1,2026-08-09
